"ML.Catalog.Number","Format","Common.Name","Scientific.Name","Background.Species","Caption","Recordist","Date","Year","Month","Day","Time","Country","Country.State.County","State","County","Locality","Latitude","Longitude","Age.Sex","Behaviors","Playback","Captive","Collected","Specimen.ID","Home.Archive.Catalog.Number","Recorder","Microphone","Accessory","Partner.Institution","eBird.Checklist.ID","Unconfirmed","Air.Temp..C.","Water.Temp..C.","Media.notes","Observation.Details","Parent.Species","eBird.Species.Code","Taxon.Category","Taxonomic.Sort","Recordist.2","Average.Community.Rating","Number.of.Ratings","Asset.Tags","Original.Image.Height","Original.Image.Width"
647945836,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Guida Bell-Cross","2025-12-30",2025,12,30,538,"Zambia","ZM-09","Lusaka","","Bell-Cross",-15.430678,28.42902,"","","Unspecified","false","false",NA,NA,"","","",NA,"S291334842",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
647814626,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Ted Burkett","2025-11-30",2025,11,30,638,"Ghana","GH-CP","Central","","Kakum NP--Canopy",5.3543164,-1.3835876,"","","Unspecified","false","false",NA,NA,"Zoom F3","Hi-Sound DR Parabolic Microphone","Dodotronics parabola",NA,"S286865328",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,3,1,NA,NA,NA
647768788,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Ted Burkett","2025-11-29",2025,11,29,644,"Ghana","GH-CP","Central","","Ebekawopa (Abrafo)--'farm scrub' habitat",5.32459,-1.40445,"","","Unspecified","false","false",NA,NA,"Zoom F3","Sennheiser ME 66","",NA,"S286868125",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4,1,NA,NA,NA
647425132,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"The Namibia Birdsong Collection","2025-12-23",2025,12,23,0,"Namibia","NA-CA","Caprivi","","Caprivi River Lodge",-17.491193,24.31557,"","Song","Unspecified","","",NA,NA,"","","",NA,"S289883696",NA,NA,NA,"Recorded and contributed by: JG Gericke.  Prepared, normalised, and archived by: Jacob Henry.","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,3,1,NA,NA,NA
647284146,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Guida Bell-Cross","2025-12-21",2025,12,21,605,"Zambia","ZM-09","Lusaka","","Bell-Cross",-15.430678,28.42902,"","","Unspecified","false","false",NA,NA,"","","",NA,"S289461955",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
647084508,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Geoff Carpentier","2025-12-07",2025,12,7,1514,"South Africa","ZA-NL","Kwazulu-Natal","","UMkhuze Game Reserve, Mkuze ZA-KZN -27.62162, 32.23370",-27.621617,32.233699,"Adult Male – 1","Song","Unspecified","","",NA,NA,"","","",NA,"S287755943",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4,1,NA,NA,NA
647027345,"Audio","African Emerald Cuckoo (African)","Chrysococcyx cupreus cupreus","",NA,"Charles Duncan","2025-11-15",2025,11,15,527,"Zambia","ZM-07","Southern","","Camp Nkwazi",-17.8306585,25.6453514,"","Song","Unspecified","","",NA,NA,"iPhone 13 Mini","Røde VideoMic GO","windscreen",NA,"S284593571",NA,NA,NA,"HPF: -30 db @20Hz to 0 db at 300 Hz, then normalized to -3.0dB.  Voice-label normalized to -6.0dB ","","Chrysococcyx cupreus","afecuc2","Group",3308,NA,4,1,NA,NA,NA
646626296,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Donovan  Rule","2025-12-09",2025,12,9,518,"Zambia","ZM-03","Eastern","","South East of Kalawani Pan -13.13538, 31.78418",-13.135379,31.784182,"","","Unspecified","false","false",NA,NA,"","","",NA,"S287884420",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
645786991,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Alain Jacot","2025-11-24",2025,11,24,701,"Kenya","KE-400","Eastern","","Nzeeu River",-1.42461,38.018205,"","","Unspecified","false","false",NA,NA,"","","",NA,"S285910306",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
645769118,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Juan van den Heever","2023-12-14",2023,12,14,1630,"Zimbabwe","ZW-MN","Matabeleland North","","The Lookout Cafe",-17.9293489,25.8468107,"","","Unspecified","false","false",NA,NA,"","","",NA,"S285897732",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
645724219,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Alain Jacot","2025-11-23",2025,11,23,618,"Kenya","KE-400","Eastern","","Nzeeu River",-1.42461,38.018205,"","","Unspecified","false","false",NA,NA,"","","",NA,"S285712868",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
645634746,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"GARY DOUGLAS","2025-11-21",2025,11,21,745,"Zimbabwe","ZW-MA","Manicaland","","Pinetree Inn",-18.3684635,32.6409817,"","","Unspecified","false","false",NA,NA,"","","",NA,"S285523760",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,5,1,NA,NA,NA
645585049,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Guida Bell-Cross","2025-11-20",2025,11,20,549,"Zambia","ZM-09","Lusaka","","Bell-Cross",-15.430678,28.42902,"","","Unspecified","false","false",NA,NA,"","","",NA,"S285307857",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
645396141,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","Chrysococcyx cupreus -- African Emerald Cuckoo",NA,"Guida Bell-Cross","2025-11-15",2025,11,15,733,"Zambia","ZM-09","Lusaka","","Bell-Cross",-15.430678,28.42902,"","Call","Unspecified","","",NA,NA,"","","",NA,"S284494362",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
645376941,"Audio","African Emerald Cuckoo (African)","Chrysococcyx cupreus cupreus","",NA,"Marc Cronje- Nature Travel Birding","2025-11-15",2025,11,15,527,"Zambia","ZM-07","Southern","","Camp Nkwazi",-17.8306585,25.6453514,"","","Unspecified","false","false",NA,NA,"","","",NA,"S284583193",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc2","Group",3308,NA,0,0,NA,NA,NA
643183193,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Dominique Rabie","2025-10-09",2025,10,9,723,"South Africa","ZA-NL","Kwazulu-Natal","","St Lucia--iGwalagwala Trail",-28.3855824,32.407608,"","","Unspecified","false","false",NA,NA,"","","",NA,"S278099730",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,5,1,NA,NA,NA
640522181,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Anne Bielamowicz","2025-08-06",2025,8,6,1756,"Uganda","UG-W","Western","","Kibale Forest, Burahya UG-Western 0.48486, 30.35309",0.484864,30.353086,"","","Unspecified","false","false",NA,NA,"","","",NA,"S265455227",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4,1,NA,NA,NA
640121905,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Miguel Aguilar @birdnomad","2024-06-20",2024,6,20,710,"Uganda","UG-W","Western","","Bwindi Forest Farm and Campsite",-0.9010824,29.6849557,"","","Unspecified","false","false",NA,NA,"","","",NA,"S182816279",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
639327688,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Judith Mirembe","2025-07-07",2025,7,7,706,"Uganda","UG-W","Western","","Kibale forest",0.439751,30.402215,"","Song","Not Used","","",NA,NA,"Zoom H1XLR","Synco","",NA,"S257810555",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,5,1,NA,NA,NA
633357242,"Audio","African Emerald Cuckoo (African)","Chrysococcyx cupreus cupreus","",NA,"Sam Zhang","2025-02-27",2025,2,27,821,"Ghana","GH-EP","Eastern","","Atewa Range--upland forest & ridge",6.2413908,-0.5536509,"Adult Male – 1","Song","Unspecified","","",NA,NA,"","","",NA,"S215719738",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc2","Group",3308,NA,1,1,NA,NA,NA
632785333,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","Ploceus sanctithomae -- Sao Tome Weaver",NA,"Roger McNeill","2025-02-20",2025,2,20,707,"São Tomé and Príncipe","ST-S","São Tomé","","PN Obô de São Tomé--Lagoa Amélia trail",0.2840126,6.5964174,"Adult – 1","Song","Not Used","","",NA,NA,"Nagra 7","ME 67","",NA,"S214559250",NA,NA,NA,"Normalised then High Pass filter 250 ","Recorded","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4,2,NA,NA,NA
631761012,"Audio","African Emerald Cuckoo (African)","Chrysococcyx cupreus cupreus","",NA,"Guilherme Melo","2024-11-24",2024,11,24,613,"Ghana","GH-EP","Eastern","","Auto selected 6.23066, -0.53056",6.230656,-0.530562,"","","Unspecified","false","false",NA,NA,"","","",NA,"S203445108",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc2","Group",3308,NA,4,1,NA,NA,NA
631332173,"Audio","African Emerald Cuckoo (African)","Chrysococcyx cupreus cupreus","",NA,"Guilherme Melo","2024-11-02",2024,11,2,631,"Ghana","GH-CP","Central","","Kakum NP--Canopy",5.3543164,-1.3835876,"","","Unspecified","false","false",NA,NA,"","","",NA,"S201361982",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc2","Group",3308,NA,0,0,NA,NA,NA
631144613,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Thomas Brooks","2025-01-23",2025,1,23,504,"South Africa","ZA-NL","Kwazulu-Natal","","St Lucia--iGwalagwala Trail",-28.3855824,32.407608,"","","Unspecified","false","false",NA,NA,"","","",NA,"S210342920",NA,NA,NA,"","Recorded","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
630604428,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Edward Jenkins","2025-01-26",2025,1,26,612,"Equatorial Guinea","GQ-C-WN","Región Continental","Wele-Nzas","Bosque Científica--Selva Primaria",1.6154195,10.8806023,"","","Unspecified","false","false",NA,NA,"","","",NA,"S210745419",NA,NA,NA,"","Finally managed to see one well.","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
630346877,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Jacob Drucker","2025-01-22",2025,1,22,957,"South Africa","ZA-NL","Kwazulu-Natal","","Hluhluwe - iMfolozi Park Wilderness Area, Big Five Hlabisa ZA-KwaZulu-Natal -28.27802, 31.82314",-28.27802,31.823143,"","","Unspecified","false","false",NA,NA,"","","",NA,"S210282019",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,3.5,2,NA,NA,NA
629731650,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Paul Fenwick","2024-11-21",2024,11,21,1038,"Kenya","KE-800","Western","","Kakamega Forest NR--Rondo Retreat Centre",0.2269197,34.8846549,"","Song","Not Used","","",NA,NA,"Samsung S22","","",NA,"S203149672",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,3,1,NA,NA,NA
628758984,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","Cuculus solitarius -- Red-chested Cuckoo",NA,"Murray Christian","2024-12-26",2024,12,26,524,"South Africa","ZA-EC","Eastern Cape","","Hogsback Arboretum",-32.5905207,26.9351292,"","Song","Not Used","","",NA,NA,"","","",NA,"S206609022",NA,NA,NA,"Aggressive low-pass filter used to subdue deafening cicada noise.","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,2,1,NA,NA,NA
628758684,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","Phylloscopus ruficapilla -- Yellow-throated Woodland-Warbler; Oriolus larvatus -- African Black-headed Oriole",NA,"Murray Christian","2024-12-24",2024,12,24,935,"South Africa","ZA-EC","Eastern Cape","","Hogsback Forest -- Main Road to Tyume River",-32.6023627,26.9435098,"","Song","Not Used","","",NA,NA,"","","",NA,"S206411495",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,3,1,NA,NA,NA
627803879,"Audio","African Emerald Cuckoo (African)","Chrysococcyx cupreus cupreus","",NA,"Gabriel Leite","2024-11-24",2024,11,24,613,"Ghana","GH-EP","Eastern","","Auto selected 6.23066, -0.53056",6.230656,-0.530562,"","Song","Not Used","","",NA,NA,"Mix Pre 3","Sennheiser 67","",NA,"S203616353",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc2","Group",3308,NA,0,0,NA,NA,NA
626828478,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Shane Sumasgutner","2024-11-27",2024,11,27,930,"South Africa","ZA-NL","Kwazulu-Natal","","Fieldhouse24, 16 Lello Road, Hillcrest (-29.766, 30.737)",-29.7664038,30.7374205,"","","Unspecified","false","false",NA,NA,"","","",NA,"S203737290",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,2,1,NA,NA,NA
626784250,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Ashleigh Hillary","2024-11-09",2024,11,9,1359,"South Africa","ZA-WC","Western Cape","","Bitou ZA-Western Cape (-33.9680,23.5610)",-33.968035,23.560999,"","","Unspecified","false","false",NA,NA,"","","",NA,"S201859786",NA,NA,NA,"","calling","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
615674261,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Kenya Forests Audio Project","2024-02-10",2024,2,10,0,"Kenya","KE-700","Rift Valley","","Ol Doinyo Orok",-2.4852747,36.7687941,"","","Unspecified","false","false",NA,NA,"","","",NA,"S163796099",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4.5,2,NA,NA,NA
615640804,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Kenya Forests Audio Project","2024-02-26",2024,2,26,0,"Kenya","KE-700","Rift Valley","","Ol Doinyo Orok",-2.4852747,36.7687941,"","","Unspecified","false","false",NA,NA,"","","",NA,"S163718283",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,1,1,NA,NA,NA
615573149,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Dale Forbes","2023-11-10",2023,11,10,509,"South Africa","ZA-NL","Kwazulu-Natal","","St Lucia--iGwalagwala Trail",-28.3855824,32.407608,"","Song","Unspecified","","",NA,NA,"","","",NA,"S154183620",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,5,2,NA,NA,NA
615383491,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Dave Rimmer (Kingdom Birding Tours)","2024-01-24",2024,1,24,1000,"South Africa","ZA-NL","Kwazulu-Natal","","24b Leslie Road",-29.7626614,30.7595848,"","","Unspecified","false","false",NA,NA,"","","",NA,"S159666251",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,3.5,2,NA,NA,NA
615240603,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Chad Vanden Bosch","2024-02-24",2024,2,24,813,"Mozambique","MZ-B","Manica","","New Harvest Farm",-19.0591371,33.7364911,"","","Unspecified","false","false",NA,NA,"","","",NA,"S162705782",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,5,1,NA,NA,NA
615094420,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Charley Herzfeld","2024-02-20",2024,2,20,826,"Botswana","BW-NW","North-West","","Drotsky's Cabins",-18.4147578,21.8799738,"","","Unspecified","false","false",NA,NA,"","","",NA,"S162353043",NA,NA,NA,"","Identified by “pretty georgie” call. Bright green cuckoo with yellow belly.  Recording and photo (by Errol deBeer) to be attached.","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4,1,NA,NA,NA
615094418,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Charley Herzfeld","2024-02-20",2024,2,20,826,"Botswana","BW-NW","North-West","","Drotsky's Cabins",-18.4147578,21.8799738,"","","Unspecified","false","false",NA,NA,"","","",NA,"S162353043",NA,NA,NA,"","Identified by “pretty georgie” call. Bright green cuckoo with yellow belly.  Recording and photo (by Errol deBeer) to be attached.","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
611243173,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","Bleda syndactylus -- Red-tailed Bristlebill",NA,"Brett Gleitsmann","2023-10-01",2023,10,1,746,"Uganda","UG-W","Western","","Semuliki NP--Kirumya Trail",0.79919,30.1000333,"","Song","Not Used","","",NA,NA,"","","",NA,"S151147333",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,3.5,2,NA,NA,NA
611032609,"Audio","African Emerald Cuckoo (African)","Chrysococcyx cupreus cupreus","",NA,"Audrey Whitlock","2023-11-10",2023,11,10,532,"South Africa","ZA-NL","Kwazulu-Natal","","iSimangaliso WP--False Bay NR",-27.9754079,32.36009,"","","Unspecified","false","false",NA,NA,"","","",NA,"S154115512",NA,NA,NA,"","0656, recorded","Chrysococcyx cupreus","afecuc2","Group",3308,NA,3,1,NA,NA,NA
610752209,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Bernard Foy","2023-10-25",2023,10,25,858,"South Africa","ZA-WC","Western Cape","","Nature's Valley",-33.9727503,23.564782,"","","Unspecified","false","false",NA,NA,"","","",NA,"S153025923",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4,1,NA,NA,NA
609880781,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Gideon Williams","2023-09-30",2023,9,30,1200,"South Africa","ZA-EC","Eastern Cape","","Hogsback Arboretum",-32.5905207,26.9351292,"","","Unspecified","false","false",NA,NA,"","","",NA,"S151254396",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4.5,2,NA,NA,NA
609138705,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","Andropadus importunus -- Sombre Greenbul; Cinnyris chalybeus -- Southern Double-collared Sunbird",NA,"Murray Christian","2023-09-22",2023,9,22,1252,"South Africa","ZA-WC","Western Cape","","Nature's Valley",-33.9727503,23.564782,"Adult Male – 1","","Unspecified","false","false",NA,NA,"","","",NA,"S150488408",NA,NA,NA,"","Singing male.","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4,1,NA,NA,NA
