Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	0.765812396	2.924977903	0.0	24000.0
1	Spectrogram 1	1	0.765812396	2.924977903	0.0	24000.0
2	Waveform 1	1	4.392784996	6.392406253	0.0	24000.0
2	Spectrogram 1	1	4.392784996	6.392406253	0.0	24000.0
3	Waveform 1	1	8.370754944	10.604374434	0.0	24000.0
3	Spectrogram 1	1	8.370754944	10.604374434	0.0	24000.0
4	Waveform 1	1	14.376068106	16.833049545	0.0	24000.0
4	Spectrogram 1	1	14.376068106	16.833049545	0.0	24000.0
5	Waveform 1	1	21.247242236	23.725496241	0.0	24000.0
5	Spectrogram 1	1	21.247242236	23.725496241	0.0	24000.0
6	Waveform 1	1	28.114631785	30.911974289	0.0	24000.0
6	Spectrogram 1	1	28.114631785	30.911974289	0.0	24000.0
