"filename","s1_maxfreq","s2_maxfreq","s1_minfreq","s2_minfreq","s1_peakfreq","s2_peakfreq","s1_specentropy","s2_specentropy","s1_maxslope","s2_maxslope","s1_minslope","s2_minslope","s1_duration","s2_duration"
"Chrysococcyx-cupreus-615909_0.04.wav",3.48837890625,3.10078125,1.894921875,2.19638671875,2.45478515625,2.28251953125,0.594566640728206,0.523826556307088,0.4306640625,1.378125,-0.4306640625,-0.4306640625,0.392926824153308,0.587862843198221
"Chrysococcyx-cupreus-615909_0.10.wav",3.5314453125,3.10078125,1.894921875,2.19638671875,2.45478515625,2.28251953125,0.598115945094904,0.522208429138557,0.34453125,1.2919921875,-0.4306640625,-0.6029296875,0.384481709183673,0.584228448441523
"Chrysococcyx-cupreus-615909_0.20.wav",3.1869140625,3.14384765625,1.9810546875,2.19638671875,2.45478515625,2.41171875,0.572655851069387,0.503547255071947,0.34453125,1.2919921875,-0.34453125,-0.4306640625,0.368088815487659,0.59447793277812
"Chrysococcyx-cupreus-615909_0.24.wav",3.14384765625,3.14384765625,2.19638671875,2.19638671875,2.45478515625,2.28251953125,0.536349264405113,0.487118630158909,0.6029296875,1.2919921875,-0.6029296875,-0.4306640625,0.37333076282905,0.597772597521554
"Chrysococcyx-cupreus-615909_0.38.wav",3.3591796875,3.14384765625,2.02412109375,2.19638671875,2.45478515625,2.41171875,0.550571185323307,0.502661652348951,0.516796875,1.378125,-0.6890625,-0.4306640625,0.379826315061809,0.578457201542589
"Chrysococcyx-cupreus-615909_0.50.wav",2.75625,3.14384765625,2.28251953125,2.1533203125,2.45478515625,2.28251953125,0.508074984763409,0.527552113911919,0.4306640625,0.9474609375,-0.4306640625,-0.2583984375,0.388546640906937,0.973776686799522
"Chrysococcyx-cupreus-615909_0.56.wav",3.40224609375,3.31611328125,2.02412109375,2.19638671875,2.4978515625,2.75625,0.5633744097922,0.528846702317432,0.4306640625,1.2919921875,-0.4306640625,-0.516796875,0.398532389547815,0.577624555956668
"Chrysococcyx-cupreus-615909_1.06.wav",2.97158203125,2.928515625,1.85185546875,2.19638671875,2.54091796875,2.28251953125,0.546689775853243,0.500225028972236,0.4306640625,1.205859375,-0.6029296875,-0.4306640625,0.397894834886971,0.565227105088453
"Chrysococcyx-cupreus-615909_1.08.wav",2.97158203125,2.97158203125,2.1533203125,2.1533203125,2.45478515625,2.239453125,0.536783206055578,0.501416736658104,0.4306640625,1.205859375,-0.34453125,-0.4306640625,0.471206636671905,0.59605617013813
"Chrysococcyx-cupreus-615909_1.14.wav",3.0146484375,2.97158203125,1.894921875,2.19638671875,2.45478515625,2.28251953125,0.541236832460508,0.488169738180741,0.34453125,1.2919921875,-0.34453125,-0.34453125,0.415881934704946,0.579998407406977
"Chrysococcyx-cupreus-615909_1.23.wav",3.4453125,3.05771484375,1.8087890625,2.19638671875,2.4978515625,2.28251953125,0.574316455847691,0.503508579539659,0.516796875,1.378125,-0.7751953125,-0.4306640625,0.39171606880031,0.576805170100572
