Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	4.882054027	7.360308032	0.0	24000.0
1	Spectrogram 1	1	4.882054027	7.360308032	0.0	24000.0
2	Waveform 1	1	19.485068283	21.910140872	0.0	24000.0
2	Spectrogram 1	1	19.485068283	21.910140872	0.0	24000.0
3	Waveform 1	1	32.775221138	35.136476027	0.0	24000.0
3	Spectrogram 1	1	32.775221138	35.136476027	0.0	24000.0
4	Waveform 1	1	38.209928338	40.688182343	0.0	24000.0
4	Spectrogram 1	1	38.209928338	40.688182343	0.0	24000.0
