Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	1.021083195	4.041787648	0.0	24000.0
1	Spectrogram 1	1	1.021083195	4.041787648	0.0	24000.0
2	Waveform 1	1	6.977401834	9.859834604	0.0	24000.0
2	Spectrogram 1	1	6.977401834	9.859834604	0.0	24000.0
3	Waveform 1	1	14.400889336	17.464138922	0.0	24000.0
3	Spectrogram 1	1	14.400889336	17.464138922	0.0	24000.0
4	Waveform 1	1	23.052209636	25.743189307	0.0	24000.0
4	Spectrogram 1	1	23.052209636	25.743189307	0.0	24000.0
5	Waveform 1	1	26.370730020	28.817075176	0.0	24000.0
5	Spectrogram 1	1	26.370730020	28.817075176	0.0	24000.0
6	Waveform 1	1	28.944710575	31.454873430	0.0	24000.0
6	Spectrogram 1	1	28.944710575	31.454873430	0.0	24000.0
7	Waveform 1	1	32.201648188	34.467176527	0.0	24000.0
7	Spectrogram 1	1	32.201648188	34.467176527	0.0	24000.0
8	Waveform 1	1	37.126627357	39.583608796	0.0	24000.0
8	Spectrogram 1	1	37.126627357	39.583608796	0.0	24000.0
9	Waveform 1	1	40.221785793	42.487314132	0.0	24000.0
9	Spectrogram 1	1	40.221785793	42.487314132	0.0	24000.0
10	Waveform 1	1	45.012583127	47.607836248	0.0	24000.0
10	Spectrogram 1	1	45.012583127	47.607836248	0.0	24000.0
11	Waveform 1	1	48.246013245	50.756176100	0.0	24000.0
11	Spectrogram 1	1	48.246013245	50.756176100	0.0	24000.0
12	Waveform 1	1	53.414629843	55.818429865	0.0	24000.0
12	Spectrogram 1	1	53.414629843	55.818429865	0.0	24000.0
13	Waveform 1	1	57.403236074	59.998489195	0.0	24000.0
13	Spectrogram 1	1	57.403236074	59.998489195	0.0	24000.0
