Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	0.659449564	2.978159319	0.0	24000.0
1	Spectrogram 1	1	0.659449564	2.978159319	0.0	24000.0
2	Waveform 1	1	7.320175304	9.723975327	0.0	24000.0
2	Spectrogram 1	1	7.320175304	9.723975327	0.0	24000.0
3	Waveform 1	1	10.043063825	12.468136414	0.0	24000.0
3	Spectrogram 1	1	10.043063825	12.468136414	0.0	24000.0
4	Waveform 1	1	13.350947926	15.680293965	0.0	24000.0
4	Spectrogram 1	1	13.350947926	15.680293965	0.0	24000.0
